timestamp,price,volume
2025-09-29 19:02:11.137,114079.5633862581,59244929837.63786
2025-09-29 20:02:22.667,114267.65815499244,60798391650.99954
2025-09-29 21:02:52.696,114335.55581555494,61740518202.87761
2025-09-29 22:02:21.536,114228.4460751732,61827530609.20346
2025-09-29 23:02:06.322,114199.64361291657,59472095802.84539
2025-09-30 00:01:15.755,114309.15041119447,57833295882.65785
2025-09-30 01:01:54.468,114591.64075168502,58891883699.462364
2025-09-30 02:01:58.221,114354.80102507943,58981598730.30158
2025-09-30 03:02:18.454,114470.31365250966,58763238858.86955
2025-09-30 04:01:47.388,114387.96352880343,58591532095.292145
2025-09-30 05:01:30.384,114125.99066435872,58222309892.80595
2025-09-30 06:02:17.043,113900.5151481005,59606884255.388916
2025-09-30 07:02:12.795,114005.75472972944,59825454276.051765
2025-09-30 08:01:25.874,113743.3326373963,59964485203.87368
2025-09-30 09:01:44.901,113486.80547713279,59543176475.09739
2025-09-30 10:02:32.043,112890.22100983586,60376761384.69447
2025-09-30 11:02:16.030,113034.88754235029,61702578889.885796
2025-09-30 12:01:22.003,113090.666325633,61452843348.529854
2025-09-30 13:02:09.316,113153.91895283562,60937576014.3701
2025-09-30 14:02:15.094,113286.25046418571,59401240646.93363
2025-09-30 15:02:22.020,113560.19793834805,56271481704.740425
2025-09-30 16:02:26.209,113103.90379580077,56879848307.46406
2025-09-30 17:01:29.261,112843.61303366242,55327856067.6129
2025-09-30 18:02:02.079,113343.47542896615,55584916803.72932
2025-09-30 19:02:18.018,113644.47187342969,55545362722.607704
2025-09-30 20:02:25.069,114491.9103392663,56740789101.480804
2025-09-30 21:02:37.088,114618.57914948085,57444270603.44735
2025-09-30 22:02:01.276,114360.38237831357,58378932168.00649
2025-09-30 23:00:42.176,113941.29371405822,57951420649.40067
2025-10-01 00:01:51.573,114024.22783550054,57718901820.70616
2025-10-01 01:02:04.729,114117.90747650724,56995610521.00282
2025-10-01 02:02:18.394,114513.0525092975,56189024472.64735
2025-10-01 03:02:19.999,114279.18471033598,55927755542.095825
2025-10-01 04:01:25.765,114214.15362627294,56213636526.36849
2025-10-01 05:01:37.859,114305.53341495708,56766711365.455475
2025-10-01 06:01:51.704,114613.05189776568,56796468624.53895
2025-10-01 07:06:48.664,114388.4661783791,56452596426.20669
2025-10-01 08:01:18.767,114527.88667529637,55875838651.414505
2025-10-01 09:01:41.225,116080.7836680288,54837312854.269936
2025-10-01 10:01:36.523,116448.6876962004,61271604121.76153
2025-10-01 11:00:22.014,116288.18164831583,60567263953.111115
2025-10-01 12:02:08.411,116644.28137114798,60669073816.82783
2025-10-01 13:01:25.243,116435.39338097989,62298905123.9021
2025-10-01 14:02:22.580,116770.62662304673,63064803578.57232
2025-10-01 15:02:22.512,117251.21265370194,64853910346.08914
2025-10-01 16:01:41.994,117484.31421351855,65207888141.2778
2025-10-01 17:02:51.506,117704.3790559691,69483942990.28572
2025-10-01 18:00:59.339,116868.50649297565,69004609546.63852
2025-10-01 19:01:35.919,117273.63376390918,70618624543.31705
2025-10-01 20:02:26.654,117481.28760147937,69335600554.4747
2025-10-01 21:06:17.876,117594.1568081039,68439436785.16637
2025-10-01 22:01:18.686,117491.0350655874,67410140907.57001
2025-10-01 23:02:10.696,117890.1276507497,67938363473.51913
2025-10-02 00:02:24.809,118503.24451752483,69920179085.4708
2025-10-02 01:02:38.889,118580.43667265555,74991520110.89244
2025-10-02 02:01:51.015,118792.11274433398,74878317579.31914
2025-10-02 03:03:06.616,118751.36338036042,76090637983.94336
2025-10-02 04:01:35.277,118774.17030297645,76658303577.52701
2025-10-02 05:02:02.085,118637.56780342005,75821195505.01414
2025-10-02 06:02:14.057,118386.89339564343,75335560179.06816
2025-10-02 07:02:22.312,118617.56865852905,74663642035.63876
2025-10-02 08:01:23.788,118544.2524595524,75173582126.3366
2025-10-02 09:02:20.931,118682.5766234885,69849351094.08954
2025-10-02 10:06:38.898,118932.97701945083,67151403942.348366
2025-10-02 11:02:37.646,118688.64326239079,66558971047.4935
2025-10-02 12:02:23.784,118870.58017736283,65925191553.58871
2025-10-02 13:02:14.331,119384.33350967319,66236629230.69423
2025-10-02 14:06:25.647,119593.0357894061,67651309739.90661
2025-10-02 15:06:16.054,118835.15046113516,66485014229.89752
2025-10-02 16:02:44.000,119947.5083644721,67246763805.0119
2025-10-02 17:03:05.441,119926.44247377582,67580857666.54917
2025-10-02 18:01:55.663,119971.9710835904,66198696909.38652
2025-10-02 19:00:35.657,120590.64786304125,68157144420.20197
2025-10-02 20:01:54.064,120806.93107659295,71074288737.88626
2025-10-02 21:02:18.021,120523.88980735927,71893586151.70308
2025-10-02 22:01:46.747,120200.57372246339,72266146750.62857
2025-10-02 23:02:14.294,120165.1470230456,72168715153.93767
2025-10-03 00:01:40.573,120514.57785586915,70708858533.94963
2025-10-03 01:06:02.120,120228.71817376939,66232398987.307236
2025-10-03 02:06:30.159,120015.14101780736,65984242469.2436
2025-10-03 03:02:01.597,120178.15640597939,65273918770.41006
2025-10-03 04:02:03.940,120366.33328893849,64703629385.5381
2025-10-03 05:02:23.326,120123.65922741519,64613096574.01271
2025-10-03 06:01:36.822,119975.42358661075,64002498071.99221
2025-10-03 07:01:25.645,119908.35993195747,64068912741.362755
2025-10-03 08:02:11.193,119735.66557820702,65963489878.15732
2025-10-03 09:02:27.778,120003.47766137778,68457026408.38166
2025-10-03 10:06:14.372,120370.71622395476,71471036536.77403
2025-10-03 11:02:14.745,120519.26842007492,71794093213.57314
2025-10-03 12:01:29.814,120409.86985481453,71832912558.06154
